id,name,function,song,_type_id
27,吴茱萸汤,温中补虚，降逆止呕,吴茱萸汤人参枣，重用生姜温胃好，阳明寒呕少阴利，厥阴头痛皆能保。,6
28,四逆汤,回阳救逆,四逆汤中姜附草，阳衰寒厥急煎尝，腹痛吐泻脉沉细，急投此方可回阳。,6
29,当归四逆汤,：温经散寒，养血通脉,当归四逆芍桂枝，细辛甘枣通草施，血虚寒厥四末冷，温经通脉最相宜。,6
30,葛根黄芩黄连汤,解表清里,葛根黄芩黄连汤，甘草四般治二阳，解表清里兼和胃，喘汗自利保安康。,7
31,五积散,发表温里，顺气化痰，活血消积,五积散治五般积，麻黄苍芷归芍芎，枳桔桂苓甘茯朴，陈皮半夏加姜葱，除桂枳陈余略炒，熟料尤增温散功，温中解表祛寒湿，散痞调经用各充。,7
32,大柴胡汤,和解少阳，内泻热结,大柴胡汤用大黄，枳实芩夏白芍将，煎加姜枣表兼里，妙法内攻并外攘。,7
33,防风通圣散,疏风解表，泻热通便,防风通圣大黄硝，荆芥麻黄栀芍翘，甘桔芎归膏滑石，薄荷芩术力偏饶，表里交攻阳热盛，外科疡毒总能消。,7
34,疏凿饮子,泻下逐水，疏风消肿,疏凿槟榔及商陆，苓皮大腹同椒目，赤豆艽羌泻木通，煎益姜皮阳水服。,7
35,四君子汤,益气健脾,四君子汤中和义，参术茯苓甘草比，益以夏陈名六君，祛痰补气阳虚饵，除却半夏名异功，或加香砂胃寒使。,8
36,补中益气汤,补中益气，升阳举陷,补中益气芪术陈，升柴参草当归身，虚劳内伤功独擅，亦治阳虚外感因。,8
37,玉屏风散,益气固表止汗,玉屏风散用防风，黄芪相畏效相成，白术益气更实卫，表虚自汗服之应。,8
38,四物汤,补血调血,四物地芍与归芎，血家百病此方通，八珍合入四君子，气血双疗功独崇，再加黄芪与肉桂，十全大补补方雄。,8
39,归脾汤,益气补血，健脾养心,归脾汤用术参芪，归草茯神远志随，酸枣木香龙眼肉，煎加姜枣益心脾，怔忡健忘俱可却，肠风崩漏总能医。,8
40,牡蛎散,敛阴止汗，益气固表,牡蛎散内用黄芪，浮麦麻黄根最宜，自汗盗汗心液损，固表敛汗见效奇。,9
41,真人养脏汤,涩肠固脱，温补脾肾,真人养脏诃粟壳，肉蔻当归桂木香，术芍参甘为涩剂，脱肛久痢早煎尝。,9
42,桃花汤,涩肠止痢，温中散寒,桃花汤用石脂宜，粳米干姜共用之，为涩虚寒少阴利，热邪滞下切难施。,9
43,金锁固精丸,清热燥湿，养阴止痢,驻车丸用姜二两，当归阿胶各三两，六两黄连重一般，阴虚久痢奏效良。,9
44,缩泉丸,温肾祛寒，缩尿止遗,缩泉丸治小便频，膀胱虚寒遗尿斟，乌药益智各等分，山药糊丸效更珍。,9
45,朱砂安神丸,镇心安神，清热养血,朱砂安神东垣方，归连甘草合地黄，怔忡不寐心烦乱，养阴清热可复康。,10
46,磁朱丸,重镇安神，交通心肾,磁朱丸中有神曲，安神潜阳治目疾，心悸失眠皆可用，癫狂痫证服之宜。,10
47,天王补心丹,滋阴养血，补心安神,天王补心柏枣仁，二冬生地与归身，三参桔梗朱砂味，远志茯苓共养神。,10
48,酸枣仁汤,养血安神，清热除烦,酸枣仁汤治失眠，川芎知草茯苓煎，养血除烦清虚热，安然入睡梦乡甜。,10
49,交泰丸,交通心肾,心肾不交交泰丸，一份桂心十份连，怔忡不寐心阳亢，心肾交时自可安。,10
50,安宫牛黄丸,清热解毒，豁痰开窍,安宫牛黄丸最精，芩连栀子郁砂并，更加雄角珠冰麝，退热清心力更宏。,11
51,紫雪,清热开窍，息风止痉,紫雪犀羚朱朴硝，硝磁寒水滑和膏，丁沉木麝升玄草，更用赤金法亦超。,11
52,抱龙丸,清热化痰，开窍醒神,抱龙丸用天竺黄，雄黄辰砂并麝香，更加胆星甘草入，小儿急惊效力彰。,11
53,苏合香丸,温通开窍，行气止痛,苏合香丸麝息香，木丁熏陆荜檀襄，犀冰术沉诃香附，衣用朱砂中恶尝。,11
54,紫金锭,辟秽解毒，化痰开窍，消肿止痛,紫金锭用麝朱雄，慈戟千金五倍同，太乙玉枢名又别，祛痰逐秽及惊风。,11
55,越鞠丸,行气解郁,越鞠丸治六般郁，气血痰火湿食因，芎苍香附兼栀曲，气畅郁舒痛闷伸。,12
56,柴胡疏肝汤,疏肝解郁，行气止痛,柴胡疏肝芍川芎，枳壳陈皮草香附，疏肝行气兼活血，胁肋疼痛立能除。,12
57,苏子降气汤,降气平喘，祛痰止咳,苏子降气半夏归，前胡桂朴草姜随，下虚上盛痰嗽喘，亦有加参贵合机。,12
58,定喘汤,宣降肺气，清热化痰,定喘白果与麻黄，款冬半夏白皮桑，苏杏黄芩兼甘草，肺寒膈热喘哮尝。,12
59,四磨汤,行气降逆，宽胸散结,四磨亦治七情侵，人参乌药及槟沉，浓磨煎服调逆气，实者枳壳易人参。,12
60,桃核承气汤,逐瘀泻热,桃仁承气五般奇，甘草硝黄并桂枝，热结膀胱少腹胀，如狂蓄血最相宜。,13
61,血府逐瘀汤,活血化瘀，行气止痛,血府逐瘀归地桃，红花枳壳膝芎饶，柴胡赤芍甘桔梗，血化下行不作痨。会厌逐瘀是病源，桃红甘桔地归玄，柴胡枳壳赤芍药，水呛血凝立可痊。通窍全凭好麝香，桃红大枣老葱姜，川芎黄酒赤芍药，表里通经第一方。膈下逐瘀桃牡丹，赤芍乌药元胡甘，归芎灵脂红花壳，香附开郁血亦安。少腹逐瘀芎炮姜，元胡灵脂芍茴香，蒲黄肉桂当没药，调经止痛是良方。身痛逐瘀膝地龙，香附羌秦草归芎，黄芪苍柏量加减，要紧五灵桃没红。,13
62,七厘散,散瘀消肿，定痛止血,七厘散治跌打伤，血竭红花冰麝香，乳没儿茶朱砂末，外敷内服均见长。,13
63,十灰散,凉血止血,十灰散用十般灰，柏荷茅茜丹榈煨，二蓟栀黄皆炒黑，上部出血势能摧。,13
64,黄土汤,温阳健脾，养血止血,黄土汤将远血医，胶芩地术附甘随，温阳健脾能摄血，便血崩漏服之宜。,13
65,川芎茶调散,疏风止痛,川芎茶调散荆防，辛芷薄荷甘草羌，目昏鼻塞风攻上，偏正头痛悉能康。,14
66,大秦艽汤,祛风清热，养血活血,大秦艽汤羌独防，芎芷辛芩二地黄，石膏归芍苓甘术，风邪散见可通尝。,14
67,消风散,疏风养血，清热除湿,消风散内用荆防，蝉蜕胡麻苦参苍，石知蒡通归地草，风疹湿疹服之康。,14
68,牵正散,祛风化痰，通络止痉,牵正散是杨家方，全蝎僵蚕白附襄，服用少量热酒下，口眼?斜疗效彰。,14
69,玉真散,祛风化痰，定搐止痉,玉真散治破伤风，牙关紧急反张弓，星麻白附羌防芷，外敷内服一方通。,14
70,杏苏散,轻宣凉燥，理肺化痰,杏苏散内夏陈前，枳桔苓草姜枣研，轻宣温润治凉燥，咳止痰化病自痊。,15
71,桑杏汤,清宣温燥，润肺止咳,桑杏汤中象贝宜，沙参栀豉与梨皮，身热咽干咳痰少，辛凉甘润燥能医。,15
72,麦门冬汤,滋养肺胃，降逆下气,麦门冬汤用人参，枣草粳米半夏存，肺痿咳逆因虚火，清养肺胃此方珍。,15
73,玉液汤,益气养阴，固肾生津,玉液山药芪葛根，花粉知味鸡内金，消渴口干溲多数，补脾固肾益气阴。,15
74,增液汤,增液润燥,增液汤用玄地冬，无水舟停便不通，或合硝黄作泻剂，补泄兼施妙不同。,15
75,平胃散,燥湿运脾，行气和胃,平胃散用苍术朴，陈皮甘草四般药，除湿散满祛瘴岚，调胃诸方从此扩，若和小柴名柴平，煎加姜枣能除疟，又不换金正气散，即是此方加夏藿。,16
76,藿香正气散,解表化湿，理气和中,藿香正气大腹苏，甘桔陈苓术朴俱，夏曲白芷加姜枣，感伤岚瘴并能祛。,16
77,茵陈蒿汤,清热利湿退黄,茵陈蒿汤治疸黄，阴阳寒热细推详，阳黄大黄栀子入，阴黄附子与干姜。亦有不用茵陈者，加草柏皮栀子汤。,16
78,八正散,清热泻火，利水通淋,八正木通与车前，萹蓄大黄滑石研，草梢瞿麦兼栀子，煎加灯草痛淋蠲。,16
79,三仁汤,宣畅气机，清利湿热,三仁杏蔻薏苡仁，朴夏通草滑竹伦，水用甘澜扬百遍，湿温初起法堪遵。,16
80,二陈汤,燥湿化痰，理气和中,二陈汤用半夏陈，益以茯苓甘草成，利气调中兼去湿，一切痰饮此方珍。,17
81,茯苓丸,燥湿行气，软坚化痰,指迷茯苓丸最精，风化芒硝枳半并，臂痛难移脾气阻，停痰伏饮有嘉名。,17
82,小陷胸汤,清热化痰，宽胸散结,小陷胸汤连夏蒌，宽胸散结涤痰周，邪热大陷胸汤治，甘遂硝黄一泻柔。,17
83,滚痰丸,泻火逐痰,滚痰丸用青礞石，大黄黄芩沉水香，百病多因痰作崇，顽痰怪症力能匡。,17
84,定痫丸,涤痰息风，清热定痫,定痫二茯贝天麻，丹麦陈蒲远半夏，胆星全蝎蚕琥珀，竹沥姜汁草朱砂。,17
85,保和丸,消食化滞，理气和胃,保和神曲与山楂，苓夏陈翘菔子加，曲糊为丸麦汤下，亦可方中用麦芽。,18
86,枳实导滞丸,消食导滞，清热祛湿,枳实导滞首大黄，芩连曲术茯苓襄，泽泻蒸饼糊丸服，湿热积滞力能攘。,18
87,木香槟榔丸,行气导滞，攻积泄热,木香槟榔青陈皮，黄柏黄连莪术齐，大黄黑丑兼香附，泻痢后重热滞宜。,18
88,健脾丸,健脾和胃，消食止泻,健脾参术苓草陈，肉蔻香连合砂仁，楂肉山药曲麦炒，消补兼施不伤正。,18
89,葛花解酲汤,分消酒湿，理气健脾,葛花解酲香砂仁，二苓参术蔻青陈，神曲干姜兼泽泻，温中利湿酒伤珍。,18
90,乌梅丸,温脏安蛔,乌梅丸用细辛桂，人参附子椒姜继，黄连黄柏及当归，温脏安蛔寒厥剂。,19
91,化虫丸,杀肠中诸虫,化虫丸中用胡粉，鹤虱槟榔苦楝根，少加枯矾面糊丸，专治虫病未虚人。,19
92,肥儿丸,杀虫消积，健脾清热,肥儿丸内用使君，豆蔻香连曲麦槟，猪胆为丸热水下，虫疳食积一扫清。,19
93,瓜蒂汤,涌吐痰涎宿食,瓜蒂散用赤豆研，豆豉煎汁送下安，痰涎宿食填上脘，逐邪宣壅服之先。,20
94,救急稀涎散,开关涌吐,稀涎皂角白矾班，或益藜芦微吐间，风中痰升人眩仆，当先服此通其关。,20
95,盐汤探吐方,涌吐宿食,盐汤探吐金匮方，干霍乱证宜急尝，宿食停脘气机阻，运用及时效更良。,20
96,仙方活命散,清热解毒，消肿溃坚，活血止痛,仙方活命金银花，防芷归陈草芍加，贝母天花兼乳没，穿山皂刺酒煎佳，一切痈毒能溃散，溃后忌服用勿差。,21
97,五味消毒饮,清热解毒，散消疔疮,五味消毒疗诸疔，银花野菊蒲公英，紫花地丁天癸子，煎加酒服效非轻。,21
98,阳和汤,温阳补血，散寒通滞,阳和汤法解寒凝，外症虚寒色属阴，熟地鹿胶姜炭桂，麻黄白芥草相承。,21
99,小金丹,化痰除湿，祛瘀通络,小金专主治阴疽，鳖麝乌龙灵乳储，墨炭胶香归没药，阴疮流注乳癌除。,21
